name,team,position,games_played,at_bats,runs,hits,doubles,triples,home_runs,runs_batted_in,walks,strikes,steals,avg,on_base_percentage,slugging_percentage,on_base_plus_slugging
Jarren Duran,BOS,OF,160,671,111,191,48,14,21,75,54,160,34,.285,.342,.492,.834
Ezequiel Tovar,COL,SS,157,655,83,176,45,4,26,78,23,200,6,.269,.295,.469,.764
Marcus Semien,TEX,2B,159,650,101,154,27,2,23,74,64,105,8,.237,.308,.391,.699
Anthony Volpe,NYY,SS,160,637,90,155,27,7,12,60,42,156,28,.243,.293,.364,.657
Bobby Witt,KC,SS,161,636,125,211,45,11,32,109,57,106,31,.332,.389,.588,.977
Shohei Ohtani,LAD,DH,159,636,134,197,38,7,54,130,81,162,59,.310,.390,.646,1.036
Gunnar Henderson,BAL,SS,159,630,118,177,31,7,37,92,78,159,21,.281,.364,.529,.893
Jose Altuve,HOU,2B,153,628,94,185,31,0,20,65,47,119,22,.295,.350,.439,.789
Bryan Reynolds,PIT,OF,156,622,73,171,29,3,24,88,57,156,10,.275,.344,.447,.791
Jose Ramirez,CLE,3B,158,620,114,173,39,2,39,118,54,82,41,.279,.335,.537,.872
Francisco Lindor,NYM,SS,152,618,107,169,39,1,33,91,56,127,29,.273,.344,.500,.844
Elly De La Cruz,CIN,SS,160,618,105,160,36,10,25,76,69,218,67,.259,.339,.471,.810
Vladimir Guerrero,TOR,1B,159,616,98,199,44,1,30,103,72,96,2,.323,.396,.544,.940
Willy Adames,MIL,SS,161,610,93,153,33,0,32,112,74,173,21,.251,.331,.462,.793
Pete Alonso,NYM,1B,162,608,91,146,31,0,34,88,70,172,3,.240,.329,.459,.788
Marcell Ozuna,ATL,DH,162,606,96,183,31,0,39,104,74,170,1,.302,.378,.546,.924
Nick Castellanos,PHI,OF,162,606,80,154,30,4,23,86,41,139,6,.254,.311,.431,.742
Jeremy Pena,HOU,SS,157,602,78,160,28,2,15,70,25,111,20,.266,.308,.394,.702
Matt Olson,ATL,1B,162,600,78,148,37,1,29,98,71,170,0,.247,.333,.457,.790
Paul Goldschmidt,STL,1B,154,599,70,147,33,1,22,65,47,173,11,.245,.302,.414,.716
Anthony Santander,BAL,OF,155,595,91,140,25,2,44,102,58,129,2,.235,.308,.506,.814
William Contreras,MIL,C,155,595,99,167,37,2,23,92,78,139,9,.281,.365,.466,.831
Manny Machado,SD,3B,152,593,77,163,30,0,29,105,45,124,11,.275,.325,.472,.797
Salvador Perez,KC,C,158,590,58,160,28,0,27,104,44,129,0,.271,.330,.456,.786
