name,team,position,games_played,at_bats,runs,hits,doubles,triples,home_runs,runs_batted_in,walks,strikes,steals,avg,on_base_percentage,slugging_percentage,on_base_plus_slugging,In_ESPN_Top_50
Jarren Duran,BOS,OF,160,671,111,191,48,14,21,75,54,160,34,0.285,0.342,0.492,0.834,True
Ezequiel Tovar,COL,SS,157,655,83,176,45,4,26,78,23,200,6,0.269,0.295,0.469,0.764,True
Marcus Semien,TEX,2B,159,650,101,154,27,2,23,74,64,105,8,0.237,0.308,0.391,0.699,False
Anthony Volpe,NYY,SS,160,637,90,155,27,7,12,60,42,156,28,0.243,0.293,0.364,0.657,False
Bobby Witt,KC,SS,161,636,125,211,45,11,32,109,57,106,31,0.332,0.389,0.588,0.977,False
Shohei Ohtani,LAD,DH,159,636,134,197,38,7,54,130,81,162,59,0.31,0.39,0.646,1.036,True
Gunnar Henderson,BAL,SS,159,630,118,177,31,7,37,92,78,159,21,0.281,0.364,0.529,0.893,True
Jose Altuve,HOU,2B,153,628,94,185,31,0,20,65,47,119,22,0.295,0.35,0.439,0.789,True
Bryan Reynolds,PIT,OF,156,622,73,171,29,3,24,88,57,156,10,0.275,0.344,0.447,0.791,True
Jose Ramirez,CLE,3B,158,620,114,173,39,2,39,118,54,82,41,0.279,0.335,0.537,0.872,True
Francisco Lindor,NYM,SS,152,618,107,169,39,1,33,91,56,127,29,0.273,0.344,0.5,0.844,True
Elly De La Cruz,CIN,SS,160,618,105,160,36,10,25,76,69,218,67,0.259,0.339,0.471,0.81,False
Vladimir Guerrero,TOR,1B,159,616,98,199,44,1,30,103,72,96,2,0.323,0.396,0.544,0.94,False
Willy Adames,MIL,SS,161,610,93,153,33,0,32,112,74,173,21,0.251,0.331,0.462,0.793,False
Pete Alonso,NYM,1B,162,608,91,146,31,0,34,88,70,172,3,0.24,0.329,0.459,0.788,False
Marcell Ozuna,ATL,DH,162,606,96,183,31,0,39,104,74,170,1,0.302,0.378,0.546,0.924,True
Nick Castellanos,PHI,OF,162,606,80,154,30,4,23,86,41,139,6,0.254,0.311,0.431,0.742,False
Jeremy Pena,HOU,SS,157,602,78,160,28,2,15,70,25,111,20,0.266,0.308,0.394,0.702,True
Matt Olson,ATL,1B,162,600,78,148,37,1,29,98,71,170,0,0.247,0.333,0.457,0.79,False
Paul Goldschmidt,STL,1B,154,599,70,147,33,1,22,65,47,173,11,0.245,0.302,0.414,0.716,False
Anthony Santander,BAL,OF,155,595,91,140,25,2,44,102,58,129,2,0.235,0.308,0.506,0.814,False
William Contreras,MIL,C,155,595,99,167,37,2,23,92,78,139,9,0.281,0.365,0.466,0.831,True
Manny Machado,SD,3B,152,593,77,163,30,0,29,105,45,124,11,0.275,0.325,0.472,0.797,True
Salvador Perez,KC,C,158,590,58,160,28,0,27,104,44,129,0,0.271,0.33,0.456,0.786,True
Teoscar Hernandez,LAD,OF,154,589,84,160,32,2,33,99,53,188,12,0.272,0.339,0.501,0.84,True
Corbin Carroll,ARI,OF,158,589,121,136,22,14,22,74,73,130,35,0.231,0.322,0.428,0.75,False
Gleyber Torres,NYY,2B,154,587,80,151,26,0,15,63,65,136,4,0.257,0.33,0.378,0.708,False
Brendan Donovan,STL,2B,153,587,65,163,34,3,14,73,47,81,5,0.278,0.342,0.417,0.759,True
Masyn Winn,STL,SS,150,587,85,157,32,5,15,57,41,109,11,0.267,0.314,0.416,0.73,True
Yainer Diaz,HOU,C,148,585,70,175,29,3,16,84,24,107,2,0.299,0.325,0.441,0.766,True
Taylor Ward,LAA,OF,156,585,73,144,26,2,25,75,63,163,6,0.246,0.323,0.426,0.749,False
Andres Gimenez,CLE,2B,152,583,64,147,22,1,9,63,26,97,30,0.252,0.298,0.34,0.638,False
Nico Hoerner,CHC,2B,151,582,86,159,35,1,7,48,44,66,31,0.273,0.335,0.373,0.708,True
Alex Bregman,HOU,3B,145,581,79,151,30,2,26,75,44,86,3,0.26,0.315,0.453,0.768,False
Adolis Garcia,TEX,OF,154,580,68,130,27,0,25,85,45,177,11,0.224,0.284,0.4,0.684,False
Nolan Arenado,STL,3B,152,578,70,157,23,0,16,71,44,92,2,0.272,0.325,0.394,0.719,True
Jake Cronenworth,SD,2B,155,577,72,139,29,3,17,83,61,118,5,0.241,0.324,0.39,0.714,False
Juan Soto,NYY,OF,157,576,128,166,31,4,41,109,129,119,7,0.288,0.419,0.569,0.988,True
Matt Chapman,SF,3B,154,575,98,142,39,2,27,78,64,158,15,0.247,0.328,0.463,0.791,False
Maikel Garcia,KC,3B,157,575,84,133,27,5,7,58,42,103,37,0.231,0.281,0.332,0.613,False
Spencer Steer,CIN,OF,158,574,74,129,34,4,20,92,72,137,25,0.225,0.319,0.402,0.721,False
Kyle Schwarber,PHI,DH,150,573,110,142,22,0,38,104,106,197,5,0.248,0.366,0.485,0.851,False
JJ Bleday,OAK,OF,159,572,74,139,43,4,20,60,67,125,2,0.243,0.324,0.437,0.761,False
Adley Rutschman,BAL,C,148,571,68,143,21,1,19,79,58,103,1,0.25,0.318,0.391,0.709,False
Brandon Nimmo,NYM,OF,151,571,88,128,25,3,23,90,77,158,15,0.224,0.327,0.399,0.726,False
Eugenio Suarez,ARI,3B,158,571,90,146,28,2,30,101,49,176,2,0.256,0.319,0.469,0.788,False
Andrew Vaughn,CWS,1B,149,570,55,140,30,1,19,70,38,132,2,0.246,0.297,0.402,0.699,False
Ian Happ,CHC,OF,153,569,89,138,34,2,25,86,80,168,13,0.243,0.341,0.441,0.782,False
Ryan McMahon,COL,3B,153,567,68,137,28,0,20,65,69,185,4,0.242,0.325,0.397,0.722,False
Julio Rodriguez,SEA,OF,143,567,76,155,17,0,20,68,38,156,24,0.273,0.325,0.409,0.734,True
Jurickson Profar,SD,OF,158,564,94,158,29,0,24,85,76,101,10,0.28,0.38,0.459,0.839,True
Josh Naylor,CLE,1B,152,563,84,137,27,0,31,108,58,105,6,0.243,0.32,0.456,0.776,False
Yandy Diaz,TB,1B,145,563,55,158,31,1,14,65,50,95,0,0.281,0.341,0.414,0.755,True
Alex Verdugo,NYY,OF,149,559,74,130,28,1,13,61,49,93,2,0.233,0.291,0.356,0.647,False
Aaron Judge,NYY,OF,158,559,122,180,36,1,58,144,133,171,10,0.322,0.458,0.701,1.159,True
